id,timestamp,datetime,nonce,symbol,trade_priority,ask_price,ask_volume,bid_price,bid_volume
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,1,34509.15,0.12998,34509.14,1.787571
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,2,34509.39,0.022973,34508.79,0.007372
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,3,34510.0,0.2217,34508.57,0.12
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,4,34511.55,0.002878,34508.46,0.030122
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,5,34511.65,0.05,34508.45,0.180144
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,6,34512.0,0.1407,34508.44,0.519718
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,7,34513.2,0.342005,34508.43,0.115869
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,8,34513.23,0.57,34508.0,0.1407
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,9,34513.82,0.03,34507.88,0.12
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,10,34514.0,0.1407,34507.76,0.166897
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,11,34514.47,0.000231,34507.75,0.05
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,12,34514.48,0.162209,34507.28,0.028992
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,13,34514.49,0.342005,34507.22,0.023517
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,14,34514.66,0.072865,34506.23,0.101223
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,15,34514.67,0.003,34506.22,0.168699
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,16,34514.94,0.004915,34506.0,0.1407
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,17,34514.95,0.57,34505.89,0.016556
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,18,34515.2,0.014605,34505.57,0.08278
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,19,34515.71,0.022,34505.56,0.088534
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,20,34516.14,0.394141,34505.53,0.079999
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,21,34516.15,0.656898,34505.2,0.021231
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,22,34516.29,0.044465,34505.19,0.004656
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,23,34516.76,0.028977,34504.89,0.56
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,24,34517.3,0.011186,34504.66,0.044728
0,1698711261523,2023-10-31T00:14:21.523Z,,BTC/USDT,25,34517.45,0.031076,34504.17,0.028977
