id,timestamp,datetime,nonce,symbol,trade_priority,ask_price,ask_volume,bid_price,bid_volume
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,1,26502.01,1.097934,26502.0,3.93771
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,2,26502.59,0.616622,26501.97,0.00075
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,3,26503.0,0.05,26501.3,0.05
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,4,26503.03,0.015093,26500.52,0.390009
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,5,26503.99,0.110941,26500.51,0.65
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,6,26504.0,0.1849,26500.45,0.378466
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,7,26504.01,0.029583,26500.44,0.001
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,8,26504.05,0.12,26500.0,0.002
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,9,26504.2,0.03,26499.97,0.00075
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,10,26505.2,0.754268,26499.16,0.016422
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,11,26505.26,0.568839,26498.94,0.65
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,12,26505.27,0.156983,26498.93,0.153565
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,13,26505.28,0.000141,26498.79,0.629958
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,14,26505.38,0.05,26498.69,0.036
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,15,26505.58,0.94805,26498.4,0.8716
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,16,26505.65,0.01,26498.37,0.011246
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,17,26505.73,0.12,26497.98,0.157151
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,18,26505.97,0.00075,26497.97,0.00075
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,19,26506.0,0.1849,26497.64,0.018054
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,20,26506.39,0.001132,26497.58,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,21,26506.48,0.011327,26497.32,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,22,26506.56,0.550571,26497.22,0.001132
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,23,26506.57,0.91761,26497.21,0.176
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,24,26506.95,0.05,26497.1,0.055698
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,25,26507.17,0.030381,26497.06,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,26,26507.57,0.524298,26496.8,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,27,26507.58,0.87382,26496.79,0.55057
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,28,26507.97,0.00112,26496.78,0.91761
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,29,26508.0,0.1849,26496.66,0.196809
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,30,26508.41,0.284595,26496.54,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,31,26508.42,0.474314,26496.43,0.10245
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,32,26508.44,0.056038,26496.28,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,33,26509.1,0.001132,26496.02,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,34,26509.76,0.173,26495.97,0.00075
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,35,26509.96,0.161203,26495.8,0.568833
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,36,26509.97,0.00075,26495.79,0.94805
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,37,26510.0,0.1849,26495.76,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,38,26510.29,0.18895,26495.67,0.015033
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,39,26510.36,0.019705,26495.66,0.754268
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,40,26511.04,0.18895,26495.59,0.017238
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,41,26511.32,0.075646,26495.5,0.18895
0,1692832940211,2023-08-23T23:22:20.211Z,,BTC/USDT,42,26511.7,0.104145,26494.51,0.001132
